"source_category","brands","categories_tags","countries_tags","ingredients_hierarchy","ingredients_tags","ingredients_text","labels_tags","product_name"
"sunscreens","Avène","en:suncare; en:in-sun-protections; en:sunscreen","en:france; en:morocco","fr:eau-thermale-avene; en:c12-15-alkyl-benzoate; en:diethylamino-hydroxybenzoyl-hexyl-benzoate; en:ethylhexyl-triazone; en:glycerin; fr:oryza-sativa; fr:amidon; en:phenylene-bis-diphenyltriazine; en:water; en:bis-ethylhexyloxyphenol-methoxyphenyl-triazine; en:glyceryl-stearate; en:potassium-cetyl-phosphate; en:stearyl-alcohol; fr:vp; fr:eicosene-copolymer; en:benzoic-acid; fr:caprylic; fr:capric-triglyceride; en:caprylyl-glycol; en:fragrance; en:glyceryl-behenate; en:glyceryl-dibehenate; en:ppg-1-peg-9-lauryl-glycol-ether; fr:red-33; en:tocopheryl-glucoside; en:tribehenin; en:xanthan-gum; fr:avene-aqua; fr:riz; fr:oryza-sativa-starch; en:ci-17200; en:colorants","fr:eau-thermale-avene; en:c12-15-alkyl-benzoate; en:diethylamino-hydroxybenzoyl-hexyl-benzoate; en:ethylhexyl-triazone; en:glycerin; fr:oryza-sativa; fr:amidon; en:phenylene-bis-diphenyltriazine; en:water; en:bis-ethylhexyloxyphenol-methoxyphenyl-triazine; en:glyceryl-stearate; en:potassium-cetyl-phosphate; en:stearyl-alcohol; fr:vp; fr:eicosene-copolymer; en:benzoic-acid; fr:caprylic; fr:capric-triglyceride; en:caprylyl-glycol; en:fragrance; en:glyceryl-behenate; en:glyceryl-dibehenate; en:ppg-1-peg-9-lauryl-glycol-ether; fr:red-33; en:tocopheryl-glucoside; en:tribehenin; en:xanthan-gum; fr:avene-aqua; fr:riz; fr:oryza-sativa-starch; en:ci-17200; en:colorants","EAU THERMALE AVÈNE (AVÈNE AQUA), C12-15 ALKYL BENZOATE, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, ETHYLHEXYL TRIAZONE, GLYCÉRINE, ORYZA SATIVA (RIZ) AMIDON (ORYZA SATIVA STARCH), PHENYLENE BIS-DIPHENYLTRIAZINE, EAU (AQUA), BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, GLYCERYL STEARATE, POTASSIUM CETYL PHOSPHATE, STEARYL ALCOHOL, VP/EICOSENE COPOLYMER, BENZOIC ACID, CAPRYLIC/CAPRIC TRIGLYCERIDE, CAPRYLYL GLYCOL, FRAGRANCE (PARFUM), GLYCERYL BEHENATE, GLYCERYL DIBEHENATE, PPG-1-PEG-9 LAURYL GLYCOL ETHER, RED 33 (CI 17200), TOCOPHERYL GLUCOSIDE, TRIBEHENIN, GOMME XANTHANE","","Crème SPF 50+"
"sunscreens","Mixa","en:suncare; en:in-sun-protections; en:sunscreen","en:france; en:morocco","","","","",""
"sunscreens","L'Oréal,L'Oreal Consumer products,Garnier","en:suncare; en:in-sun-protections; en:sunscreen","en:france; en:morocco","en:aqua; en:water; en:isopropyl-palmitate; en:alcoho-denat-ethylhexyl-salicylate; en:ethylhexyl-triazone; en:butyl-methoxydibenzoylmethane; en:bis-ethylhexyloxyphenol-methoxyphen-triazine-glycerin; en:propanediol; en:dicaprylyl-ether; en:oxidized-starch-acetate; en:copernicia-cerifera-cera; en:carnauba-wax-c12-22-alkyl-acrylate; en:hydroxyethylacrylate-copolymer; en:tocopherol-hydroxyacetophenone; en:sodium-benzoate; en:triethanolamine; en:trisodium-ethylenediamine-disuccinate; en:xanthan-gum; en:drometrizole-trisiloxane-alde-barbadensis-leaf-juice; en:caprylyl-glycol; en:acrylates-copolymer-acrylates; en:c10-30-alkyl-acrylate-crosspolymer; en:ceramide-np; en:citric-potassium-sorbate; en:fil-z70015278; en:1","en:aqua; en:water; en:isopropyl-palmitate; en:alcoho-denat-ethylhexyl-salicylate; en:ethylhexyl-triazone; en:butyl-methoxydibenzoylmethane; en:bis-ethylhexyloxyphenol-methoxyphen-triazine-glycerin; en:propanediol; en:dicaprylyl-ether; en:oxidized-starch-acetate; en:copernicia-cerifera-cera; en:carnauba-wax-c12-22-alkyl-acrylate; en:hydroxyethylacrylate-copolymer; en:tocopherol-hydroxyacetophenone; en:sodium-benzoate; en:triethanolamine; en:trisodium-ethylenediamine-disuccinate; en:xanthan-gum; en:drometrizole-trisiloxane-alde-barbadensis-leaf-juice; en:caprylyl-glycol; en:acrylates-copolymer-acrylates; en:c10-30-alkyl-acrylate-crosspolymer; en:ceramide-np; en:citric-potassium-sorbate; en:fil-z70015278; en:1","AQUA / WATER, ISOPROPYL PALMITATE, ALCOHO DENAT ETHYLHEXYL SALICYLATE, ETHYLHEXYL TRIAZONE, BUTYL METHOXYDIBENZOYLMETHANE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHEN TRIAZINE GLYCERIN, PROPANEDIOL, DICAPRYLYL ETHER, OXIDIZED STARCH ACETATE, COPERNICIA CERIFERA CERA / CARNAUBA WAX C12-22 ALKYL ACRYLATE/HYDROXYETHYLACRYLATE COPOLYMER, TOCOPHEROL HYDROXYACETOPHENONE, SODIUM BENZOATE, TRIETHANOLAMINE, TRISODIUM ETHYLENEDIAMINE DISUCCINATE, XANTHAN GUM, DROMETRIZOLE TRISILOXANE ALDE BARBADENSIS LEAF JUICE, CAPRYLYL GLYCOL, ACRYLATES COPOLYMER ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, CERAMIDE NP, CITRIC POTASSIUM SORBATE (FIL Z70015278/1).","",""
"sunscreens","Avène","en:suncare; en:in-sun-protections; en:sunscreen","en:france; en:morocco","fr:avene-thermal-spring-water; fr:c12-15-alkyl-benzoate; fr:caprylic; fr:capric-triglyceride; fr:dicaprylyl-carbonate; fr:diethylamino-hydroxybenzoyl-hexyl-benzoate; fr:glycerin; fr:ethylhexyl-triazone; fr:phenylene-bis-diphenyltriazine; fr:water; fr:bis-ethylhexyloxyphenol-methoxyphenyl-triazine; fr:potassium-cetyl-phosphate; fr:stearyl-alcohol; fr:vp; fr:eicosene-copolymer; fr:benzoic-acid; fr:caprylyl-glycol-glyceryl-behenate; fr:glyceryl-dibehenate-glyceryl-stearate; fr:peg-100-stearate; fr:polyacrylate-13; fr:polyisobutene-polysorbate-20; fr:ppg-1-peg-9-lauryl-glycol-ether; fr:red-33; fr:sorbitan-isostearate; fr:tocopherol-tocopheryl-glucoside; fr:tribehenin; en:e415; fr:avene-aqua; en:water; fr:ci-17200","fr:avene-thermal-spring-water; fr:c12-15-alkyl-benzoate; fr:caprylic; fr:capric-triglyceride; fr:dicaprylyl-carbonate; fr:diethylamino-hydroxybenzoyl-hexyl-benzoate; fr:glycerin; fr:ethylhexyl-triazone; fr:phenylene-bis-diphenyltriazine; fr:water; fr:bis-ethylhexyloxyphenol-methoxyphenyl-triazine; fr:potassium-cetyl-phosphate; fr:stearyl-alcohol; fr:vp; fr:eicosene-copolymer; fr:benzoic-acid; fr:caprylyl-glycol-glyceryl-behenate; fr:glyceryl-dibehenate-glyceryl-stearate; fr:peg-100-stearate; fr:polyacrylate-13; fr:polyisobutene-polysorbate-20; fr:ppg-1-peg-9-lauryl-glycol-ether; fr:red-33; fr:sorbitan-isostearate; fr:tocopherol-tocopheryl-glucoside; fr:tribehenin; en:e415; fr:avene-aqua; en:water; fr:ci-17200","AVENE THERMAL SPRING WATER (AVENE AQUA), C12-15 ALKYL BENZOATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, DICAPRYLYL CARBONATE, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, GLYCERIN, ETHYLHEXYL TRIAZONE, PHENYLENE BIS-DIPHENYLTRIAZINE, WATER (AQUA), BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, POTASSIUM CETYL PHOSPHATE, STEARYL ALCOHOL, VP/EICOSENE COPOLYMER, BENZOIC ACID, CAPRYLYL GLYCOL GLYCERYL BEHENATE, GLYCERYL DIBEHENATE GLYCERYL STEARATE, PEG-100 STEARATE, POLYACRYLATE-13, POLYISOBUTENE POLYSORBATE 20, PPG-1-PEG-9 LAURYL GLYCOL ETHER, RED 33 (CI 17200), SORBITAN ISOSTEARATE, TOCOPHEROL TOCOPHERYL GLUCOSIDE, TRIBEHENIN, XANTHAN GUM","","Intense Protect 50+"
"sunscreens","Mixa","en:suncare; en:in-sun-protections; en:sunscreen","en:france; en:morocco","","","","","Dermo protect spf 50+"
"sunscreens","Avène","en:suncare; en:in-sun-protections; en:sunscreen","en:france; en:italy","it:avene-thermal-spring-water; en:diethylamino-hydroxybenzoyl-hexyl-benzoate; en:diisopropyl-sebacate; en:coco-caprylate; it:caprate; it:dicaprylyl-carbonate-diethylhexyl-butamido-triazone; en:glycerin; it:bisethylhexy-loxyphenol-methoxyphenyl-triazine; it:stearate-citrate; it:oryza-sativa; it:starch; en:pentylene-glycol; en:c12-15-alkyl-benzoate; it:vp; it:eicosene-copolymer-benzoic-acid; it:caprylic; it:capric-triglyceride; en:cellulose-gum; en:fragrance; it:glycine-soja; it:oil; it:helianthus-annuus; en:seed-oils; en:vegetal-oils; en:microcrystalline-cellulose; en:sodium-hydroxide; it:tocopherol-tocopheryl-glucoside; it:avene-aqua; it:rice; it:oryza-sativa-starch; en:parfum; it:soybean; en:glycine-soja-oil; it:sunflower; it:helianthus-seed-oil","it:avene-thermal-spring-water; en:diethylamino-hydroxybenzoyl-hexyl-benzoate; en:diisopropyl-sebacate; en:coco-caprylate; it:caprate; it:dicaprylyl-carbonate-diethylhexyl-butamido-triazone; en:glycerin; it:bisethylhexy-loxyphenol-methoxyphenyl-triazine; it:stearate-citrate; it:oryza-sativa; it:starch; en:pentylene-glycol; en:c12-15-alkyl-benzoate; it:vp; it:eicosene-copolymer-benzoic-acid; it:caprylic; it:capric-triglyceride; en:cellulose-gum; en:fragrance; it:glycine-soja; it:oil; it:helianthus-annuus; en:seed-oils; en:vegetal-oils; en:microcrystalline-cellulose; en:sodium-hydroxide; it:tocopherol-tocopheryl-glucoside; it:avene-aqua; it:rice; it:oryza-sativa-starch; en:parfum; it:soybean; en:glycine-soja-oil; it:sunflower; it:helianthus-seed-oil","AVENE THERMAL SPRING WATER (AVENE AQUA), DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, DIISOPROPYL SEBACATE, COCO CAPRYLATE/CAPRATE, DICAPRYLYL CARBONATE DIETHYLHEXYL BUTAMIDO TRIAZONE, GLYCERIN, BISETHYLHEXY LOXYPHENOL METHOXYPHENYL TRIAZINE, GLYCERIN, STEARATE CITRATE, ORYZA SATIVA (RICE) STARCH (ORYZA SATIVA STARCH), PENTYLENE GLYCOL, C12-15 ALKYL BENZOATE, VP/EICOSENE COPOLYMER BENZOIC ACID, CAPRYLIC/CAPRIC TRIGLYCERIDE, CELLULOSE GUM, FRAGRANCE (PARFUM), GLYCINE SOJA (SOYBEAN) OIL (GLYCINE SOJA OIL), HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL (HELIANTHUS SEED OIL), MICROCRYSTALLINE CELLULOSE, SODIUM HYDROXIDE, TOCOPHEROL TOCOPHERYL GLUCOSIDE.","","Spray Solare Protezione alta SPF 50 - Corpo"
"sunscreens","Mustela","en:suncare; en:in-sun-protections; en:sunscreen","en:france; en:italy","it:ingredients; it:caprylic; it:capric-triglyceride; en:dicaprylyl-carbonate; en:diethylamino-hydroxybenzoyl-hexyl-benzoate; en:bis-ethylhexyloxyphenol-methoxyphenyl-triazine; en:diethylhexyl-butamido-triazone; en:glycerin; en:ethylhexyl-triazone; en:potassium-cetyl-phosphate; en:1-2-hexanediol; en:c20-22-alkyl-phosphate; en:c20-22-alcohols; en:glyceryl-caprylate; it:persea-gratissima; it:oil; en:tocopherol; en:caprylyl-glycol; it:helianthus-annuus; en:seed-oils; en:vegetal-oils; en:tocopheryl-acetate; it:acrylates; it:c10-30-alkyl-acrylate-crosspolymer; en:arginine; en:fruit-extracts; en:natural-extracts; en:water; it:avocado; it:sunflower","it:ingredients; it:caprylic; it:capric-triglyceride; en:dicaprylyl-carbonate; en:diethylamino-hydroxybenzoyl-hexyl-benzoate; en:bis-ethylhexyloxyphenol-methoxyphenyl-triazine; en:diethylhexyl-butamido-triazone; en:glycerin; en:ethylhexyl-triazone; en:potassium-cetyl-phosphate; en:1-2-hexanediol; en:c20-22-alkyl-phosphate; en:c20-22-alcohols; en:glyceryl-caprylate; it:persea-gratissima; it:oil; en:tocopherol; en:caprylyl-glycol; it:helianthus-annuus; en:seed-oils; en:vegetal-oils; en:tocopheryl-acetate; it:acrylates; it:c10-30-alkyl-acrylate-crosspolymer; en:arginine; en:fruit-extracts; en:natural-extracts; en:water; it:avocado; it:sunflower","INGREDIENTS: AQUA (WATER), CAPRYLIC/CAPRIC TRIGLYCERIDE, DICAPRYLYL CARBONATE, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, DIETHYLHEXYL BUTAMIDO TRIAZONE, GLYCERIN, ETHYLHEXYL TRIAZONE. POTASSIUM CETYL PHOSPHATE, 1,2-HEXANEDIOL, C20-22 ALKYL PHOSPHATE, C20-22 ALCOHOLS, GLYCERYL CAPRYLATE, PERSEA GRATISSIMA (AVOCADO) OIL, TOCOPHEROL, CAPRYLYL GLYCOL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, TOCOPHERYL ACETATE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, ARGININE, PERSEA GRATISSIMA (AVOCADO) FRUIT EXTRACT.","it:spray-solaire","Spray solaire"
"sunscreens","La Rosée","en:suncare; en:in-sun-protections; en:sunscreen","en:france","en:water; en:dicaprylyl-carbonate; fr:diethylamino-hydroxybenzoyl-bis-ethylhexyloxyphenol-methoxyphenyl-triazine; fr:phenylbenzimidazole-sulfonic-hexyl-benzoate; en:propanediol; en:decyl-oleate; en:coco-caprylate; fr:caprate-acd; fr:prunus-armeniaca; fr:kernel-oil; en:ethylhexyl-triazone; en:lactobacillus-ferment; en:triacontanyl-pvp; en:cetearyl-glucoside; en:lactobacillus; en:potassium-cetyl-phosphate; en:fragrance; en:glycerin; en:sorbitan-olivate; en:cetearyl-alcohol; en:sodium-hydroxide; fr:tocopherol-ethylhexylglycerin; fr:cocos-nucifera; fr:rut-extract; fr:panthenol-xanthan-gum; fr:avena-sativa-oat-kernel-extract; en:aloe-barbadensis-leaf-juice-powder; fr:brassica-napus-seed-oil; en:maltodextrin; fr:citric-od-hydrogenated-vegetable-glycerides-citrate; fr:apricot; fr:coconut","en:water; en:dicaprylyl-carbonate; fr:diethylamino-hydroxybenzoyl-bis-ethylhexyloxyphenol-methoxyphenyl-triazine; fr:phenylbenzimidazole-sulfonic-hexyl-benzoate; en:propanediol; en:decyl-oleate; en:coco-caprylate; fr:caprate-acd; fr:prunus-armeniaca; fr:kernel-oil; en:ethylhexyl-triazone; en:lactobacillus-ferment; en:triacontanyl-pvp; en:cetearyl-glucoside; en:lactobacillus; en:potassium-cetyl-phosphate; en:fragrance; en:glycerin; en:sorbitan-olivate; en:cetearyl-alcohol; en:sodium-hydroxide; fr:tocopherol-ethylhexylglycerin; fr:cocos-nucifera; fr:rut-extract; fr:panthenol-xanthan-gum; fr:avena-sativa-oat-kernel-extract; en:aloe-barbadensis-leaf-juice-powder; fr:brassica-napus-seed-oil; en:maltodextrin; fr:citric-od-hydrogenated-vegetable-glycerides-citrate; fr:apricot; fr:coconut","AQUA (WATER), DICAPRYLYL CARBONATE, DIETHYLAMINO HYDROXYBENZOYL BIS ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, PHENYLBENZIMIDAZOLE SULFONIC HEXYL BENZOATE, PROPANEDIOL, DECYL OLEATE, COCO-CAPRYLATE/CAPRATE ACD, PRUNUS ARMENIACA (APRICOT) KERNEL OIL, ETHYLHEXYL TRIAZONE, LACTOBACILLUS FERMENT, TRIACONTANYL PVP, CETEARYL GLUCOSIDE, LACTOBACILLUS, POTASSIUM CETYL PHOSPHATE, PARFUM (FRAGRANCE), GLYCERIN, SORBITAN OLIVATE, CETEARYL ALCOHOL, SODIUM HYDROXIDE, TOCOPHEROL ETHYLHEXYLGLYCERIN, COCOS NUCIFERA (COCONUT) RUT EXTRACT, PANTHENOL XANTHAN GUM, AVENA SATIVA OAT KERNEL EXTRACT, ALOE BARBADENSIS LEAF JUICE POWDER, BRASSICA NAPUS SEED OIL, MALTODEXTRIN, CITRIC OD HYDROGENATED VEGETABLE GLYCERIDES CITRATE.","","la Rosée lait solaire spf 50+"
"sunscreens","Corine de Farme","en:suncare; en:in-sun-protections; en:sunscreen","en:france","en:water; fr:diethylamino-hydroxybenzoyl-hexyl-benzoate; fr:phenylbenzimidazole-sulfonic-acid; fr:dibutyl-adipate; fr:dicaprylyl-carbonate; fr:propanediol; fr:caprylic; fr:capric-triglyceride; fr:glycerin; fr:diethylhexyl-butamido-triazone; fr:polyglyceryl-6-stearate; fr:bis-ethylhexyloxyphenol-methoxyphenyl-triazine; fr:hydrogenated-dimer-dilinoleyl; fr:dimethylcarbonate-copolymer; fr:xylitylglucoside; fr:sodium-hydroxide; fr:potassium-cetyl-phosphate; fr:cocos-nucifera-oil; fr:anhydroxylitol; en:e967; fr:ethylhexyglycerin; fr:polyglyceryl-6-behenate; en:e415; fr:sodium-gluconate; fr:0-cymen-5-ol; en:e330; en:vitamin-e; fr:gardenia-taitensis-flower-extract; fr:helianthus-annuus-seed-oil; fr:monoi-de-tahiti","en:water; fr:diethylamino-hydroxybenzoyl-hexyl-benzoate; fr:phenylbenzimidazole-sulfonic-acid; fr:dibutyl-adipate; fr:dicaprylyl-carbonate; fr:propanediol; fr:caprylic; fr:capric-triglyceride; fr:glycerin; fr:diethylhexyl-butamido-triazone; fr:polyglyceryl-6-stearate; fr:bis-ethylhexyloxyphenol-methoxyphenyl-triazine; fr:hydrogenated-dimer-dilinoleyl; fr:dimethylcarbonate-copolymer; fr:xylitylglucoside; fr:sodium-hydroxide; fr:potassium-cetyl-phosphate; fr:cocos-nucifera-oil; fr:anhydroxylitol; en:e967; fr:ethylhexyglycerin; fr:polyglyceryl-6-behenate; en:e415; fr:sodium-gluconate; fr:0-cymen-5-ol; en:e330; en:vitamin-e; fr:gardenia-taitensis-flower-extract; fr:helianthus-annuus-seed-oil; fr:monoi-de-tahiti","Aqua, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Phenylbenzimidazole Sulfonic Acid, Dibutyl Adipate, Dicaprylyl Carbonate, Propanediol, Caprylic/Capric Triglyceride, Glycerin, Diethylhexyl Butamido Triazone, Polyglyceryl-6 Stearate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Hydrogenated Dimer Dilinoleyl / Dimethylcarbonate Copolymer, Xylitylglucoside, Sodium Hydroxide, Potassium Cetyl Phosphate, Cocos Nucifera Oil, Anhydroxylitol, Xylitol, Ethylhexyglycerin, Polyglyceryl-6 Behenate, Xanthan Gum, Sodium Gluconate, 0-Cymen-5-Ol, Citric Acid, Tocopherol, Gardenia Taitensis Flower Extract, Helianthus Annuus Seed Oil. Monoï de Tahiti 1%.","fr:resiste-a-l-eau; fr:triman","Lait protecteur sensitive 50+"
"sunscreens","La roch-posay","en:suncare; en:in-sun-protections; en:sunscreen","en:france; en:united-states","","",NA,"","Anthelos"
